,location,total_sqft,bath,price,bhk
58,7th Phase JP Nagar,1050.0,2.0,71.0,2
59,7th Phase JP Nagar,1450.0,2.0,100.0,3
61,7th Phase JP Nagar,1680.0,3.0,120.0,3
62,7th Phase JP Nagar,980.0,2.0,69.0,2
63,7th Phase JP Nagar,1180.0,2.0,72.0,2
64,7th Phase JP Nagar,1270.0,2.0,83.0,2
65,7th Phase JP Nagar,2503.0,4.0,188.0,4
66,7th Phase JP Nagar,1575.0,2.0,110.0,3
67,7th Phase JP Nagar,1850.0,3.0,140.0,3
68,7th Phase JP Nagar,1575.0,2.0,120.0,3
69,7th Phase JP Nagar,1680.0,3.0,120.0,3
70,7th Phase JP Nagar,1175.0,2.0,82.5,2
71,7th Phase JP Nagar,1215.0,2.0,90.0,2
72,7th Phase JP Nagar,1050.0,2.0,75.0,2
74,7th Phase JP Nagar,1130.0,2.0,73.0,2
75,7th Phase JP Nagar,1450.0,3.0,100.0,3
76,7th Phase JP Nagar,1275.0,2.0,87.0,2
78,7th Phase JP Nagar,1680.0,3.0,117.0,3
79,7th Phase JP Nagar,1680.0,3.0,125.0,3
80,7th Phase JP Nagar,1000.0,2.0,61.0,2
83,7th Phase JP Nagar,1000.0,2.0,70.65,2
84,7th Phase JP Nagar,1080.0,2.0,75.0,2
85,7th Phase JP Nagar,1680.0,3.0,125.0,3
88,7th Phase JP Nagar,1680.0,3.0,117.0,3
89,7th Phase JP Nagar,1050.0,2.0,77.0,2
90,7th Phase JP Nagar,1050.0,2.0,75.0,2
91,7th Phase JP Nagar,1040.0,2.0,75.0,2
93,7th Phase JP Nagar,1800.0,3.0,130.0,3
94,7th Phase JP Nagar,1050.0,2.0,68.0,2
95,7th Phase JP Nagar,1000.0,2.0,60.0,2
96,7th Phase JP Nagar,1680.0,3.0,125.0,3
97,7th Phase JP Nagar,1050.0,2.0,77.47,2
98,7th Phase JP Nagar,1270.0,2.0,80.0,2
99,7th Phase JP Nagar,1680.0,3.0,122.0,3
100,7th Phase JP Nagar,1130.0,2.0,85.0,2
102,7th Phase JP Nagar,2095.0,3.0,150.0,3
103,7th Phase JP Nagar,1976.0,3.0,145.0,3
106,7th Phase JP Nagar,1275.0,2.0,88.0,3
107,7th Phase JP Nagar,1450.0,2.0,102.0,3
108,7th Phase JP Nagar,1575.0,2.0,110.0,3
109,7th Phase JP Nagar,750.0,1.0,47.0,1
110,7th Phase JP Nagar,1000.0,1.0,60.0,1
111,7th Phase JP Nagar,1430.0,2.0,102.0,3
113,7th Phase JP Nagar,1530.0,2.0,108.0,2
114,8th Phase JP Nagar,1073.5,2.0,54.005,2
115,8th Phase JP Nagar,1062.0,2.0,42.47,2
116,8th Phase JP Nagar,1455.0,3.0,73.31,3
117,8th Phase JP Nagar,1098.0,2.0,43.91,2
118,8th Phase JP Nagar,1800.0,3.0,80.0,3
119,8th Phase JP Nagar,1062.0,2.0,42.47,2
120,8th Phase JP Nagar,1035.0,2.0,39.33,2
121,8th Phase JP Nagar,909.0,2.0,40.9,2
122,8th Phase JP Nagar,1431.5,3.0,72.02,3
123,8th Phase JP Nagar,1900.0,4.0,90.0,3
124,8th Phase JP Nagar,1089.0,2.0,43.55,2
125,8th Phase JP Nagar,1504.0,2.0,83.0,3
126,8th Phase JP Nagar,1089.0,2.0,43.55,2
127,8th Phase JP Nagar,1513.0,2.0,62.0,2
128,8th Phase JP Nagar,1298.0,2.0,59.0,2
129,8th Phase JP Nagar,1006.0,2.0,44.0,2
130,8th Phase JP Nagar,1245.0,2.0,59.0,2
131,8th Phase JP Nagar,1510.0,2.0,80.0,2
132,8th Phase JP Nagar,3300.0,3.0,165.0,3
133,8th Phase JP Nagar,1730.0,5.0,75.0,5
134,8th Phase JP Nagar,1046.0,2.0,48.0,2
135,8th Phase JP Nagar,1408.0,3.0,80.0,3
136,9th Phase JP Nagar,1005.0,2.0,50.0,2
137,9th Phase JP Nagar,1035.0,2.0,45.0,2
138,9th Phase JP Nagar,1164.0,2.0,56.0,2
139,9th Phase JP Nagar,1005.0,2.0,42.0,2
140,9th Phase JP Nagar,1127.0,2.0,50.0,2
141,9th Phase JP Nagar,1005.0,2.0,43.0,2
142,9th Phase JP Nagar,835.0,2.0,37.0,2
143,9th Phase JP Nagar,660.0,2.0,27.0,2
144,9th Phase JP Nagar,1466.0,2.0,71.0,2
145,9th Phase JP Nagar,1890.0,2.0,93.0,3
146,9th Phase JP Nagar,1079.0,2.0,60.0,2
147,9th Phase JP Nagar,1480.0,2.0,80.0,2
148,9th Phase JP Nagar,1073.0,2.0,52.36,2
149,9th Phase JP Nagar,1719.3,2.0,88.0,3
150,9th Phase JP Nagar,1780.0,3.0,88.0,3
151,9th Phase JP Nagar,890.0,2.0,45.0,2
152,9th Phase JP Nagar,1331.95,2.0,69.0,2
153,AECS Layout,1199.0,2.0,65.0,2
154,AECS Layout,1080.0,2.0,55.0,2
155,AECS Layout,1308.0,2.0,60.0,2
156,AECS Layout,1005.0,2.0,55.0,2
157,Abbigere,985.0,2.0,40.39,2
158,Abbigere,765.0,2.0,30.0,1
159,Abbigere,880.0,2.0,35.0,2
160,Abbigere,795.0,2.0,32.54,2
161,Abbigere,1005.0,2.0,39.59,2
162,Abbigere,1020.0,2.0,41.82,2
163,Abbigere,985.0,2.0,40.39,2
164,Abbigere,795.0,2.0,32.54,2
165,Abbigere,1130.0,2.0,46.33,2
166,Abbigere,795.0,1.0,32.6,2
167,Abbigere,985.0,2.0,38.92,2
168,Abbigere,1000.0,2.0,41.0,2
169,Abbigere,995.0,2.0,40.8,2
170,Abbigere,1020.0,2.0,40.8,2
171,Akshaya Nagar,1070.0,2.0,54.0,2
172,Akshaya Nagar,1662.0,3.0,85.1,3
173,Akshaya Nagar,1410.0,2.0,75.0,3
174,Akshaya Nagar,1410.0,2.0,80.0,3
175,Akshaya Nagar,1662.0,3.0,85.0,3
176,Akshaya Nagar,1662.0,3.0,85.5,3
177,Akshaya Nagar,1280.0,2.0,60.0,2
178,Akshaya Nagar,1430.0,2.0,75.0,3
179,Akshaya Nagar,1419.0,2.0,73.0,3
180,Akshaya Nagar,1280.0,2.0,60.0,2
181,Akshaya Nagar,1092.0,2.0,60.0,2
184,Akshaya Nagar,1884.0,3.0,98.0,3
185,Akshaya Nagar,1314.0,2.0,68.8,2
187,Akshaya Nagar,1265.0,2.0,67.0,2
188,Akshaya Nagar,1126.0,2.0,55.0,2
189,Akshaya Nagar,1662.0,3.0,90.0,3
190,Akshaya Nagar,1420.0,2.0,75.0,3
191,Akshaya Nagar,1890.0,4.0,100.0,3
193,Akshaya Nagar,1113.0,2.0,52.0,2
194,Akshaya Nagar,1820.0,4.0,95.0,3
195,Akshaya Nagar,1896.0,3.0,102.0,3
196,Akshaya Nagar,1300.0,2.0,66.0,2
197,Akshaya Nagar,1225.0,2.0,68.0,2
198,Akshaya Nagar,1421.0,2.0,73.0,3
200,Akshaya Nagar,900.0,2.0,45.0,2
201,Ambalipura,1105.0,2.0,75.0,2
202,Ambalipura,1800.0,3.0,110.0,3
203,Ambalipura,1332.0,2.0,79.0,2
204,Ambalipura,1230.0,2.0,66.25,2
205,Ambalipura,1351.0,2.0,77.0,2
206,Ambalipura,1303.0,2.0,80.0,2
207,Ambalipura,770.0,1.0,43.82,1
208,Ambalipura,1060.0,2.0,58.5,2
209,Ambalipura,1650.0,3.0,100.0,3
210,Ambalipura,1198.0,2.0,80.0,2
211,Ambedkar Nagar,1935.0,4.0,130.0,3
212,Ambedkar Nagar,1424.0,2.0,90.0,2
213,Ambedkar Nagar,1862.0,3.0,120.0,3
214,Ambedkar Nagar,1936.0,4.0,126.0,3
215,Ambedkar Nagar,1862.0,3.0,119.0,3
216,Ambedkar Nagar,1424.0,2.0,90.0,2
217,Ambedkar Nagar,1856.0,3.0,120.0,3
218,Ambedkar Nagar,1852.0,3.0,130.0,3
219,Ambedkar Nagar,1850.0,4.0,120.0,3
220,Ambedkar Nagar,1367.0,2.0,86.0,2
221,Ambedkar Nagar,1409.0,2.0,95.0,2
222,Ambedkar Nagar,1950.0,4.0,120.0,3
223,Ambedkar Nagar,1921.0,4.0,129.0,3
224,Ambedkar Nagar,1920.0,4.0,121.0,3
225,Ambedkar Nagar,1935.0,4.0,125.0,3
226,Ambedkar Nagar,1852.0,4.0,122.0,3
227,Ambedkar Nagar,1950.0,4.0,120.0,3
228,Ambedkar Nagar,1852.0,3.0,125.0,3
229,Ambedkar Nagar,1850.0,4.0,121.0,3
230,Ambedkar Nagar,1425.0,2.0,94.0,2
231,Ambedkar Nagar,2395.0,4.0,150.0,3
232,Amruthahalli,900.0,2.0,40.0,2
233,Amruthahalli,1200.0,2.0,55.0,2
234,Amruthahalli,924.0,2.0,45.0,2
235,Amruthahalli,1200.0,2.0,55.0,2
236,Amruthahalli,1450.0,2.0,85.0,3
237,Amruthahalli,1200.0,2.0,55.0,2
238,Amruthahalli,1202.0,2.0,65.0,2
239,Amruthahalli,1340.0,2.0,75.0,2
240,Amruthahalli,1450.0,2.0,90.0,3
241,Anandapura,1200.0,2.0,58.0,2
242,Anandapura,1749.0,4.0,90.0,4
243,Anandapura,1200.0,2.0,58.0,2
244,Anandapura,1415.0,2.0,74.0,3
245,Anandapura,1200.0,2.0,50.0,2
246,Anandapura,1141.0,2.0,50.0,2
247,Ananth Nagar,500.0,1.0,14.0,1
248,Ananth Nagar,1100.0,2.0,31.5,2
249,Ananth Nagar,500.0,2.0,14.0,1
250,Ananth Nagar,908.0,2.0,26.0,2
251,Ananth Nagar,500.0,1.0,14.0,1
252,Ananth Nagar,1000.0,2.0,29.7,2
253,Ananth Nagar,850.0,2.0,25.99,2
254,Ananth Nagar,902.0,2.0,25.26,2
255,Ananth Nagar,810.0,2.0,25.5,2
256,Ananth Nagar,890.0,2.0,27.0,2
257,Ananth Nagar,1200.0,2.0,36.0,2
258,Ananth Nagar,1319.0,3.0,42.0,3
259,Ananth Nagar,902.0,2.0,25.0,2
260,Ananth Nagar,930.0,2.0,25.99,2
261,Ananth Nagar,500.0,1.0,14.0,1
262,Anekal,656.0,2.0,22.0,2
263,Anekal,620.0,2.0,22.0,2
264,Anekal,530.0,1.0,18.0,1
265,Anekal,1035.0,2.0,38.3,2
266,Anekal,888.0,2.0,34.0,2
267,Anekal,766.0,2.0,28.0,2
268,Anekal,620.0,1.0,23.5,2
269,Anekal,456.0,1.0,15.0,1
270,Anekal,2400.0,4.0,95.0,3
271,Anekal,625.0,1.0,25.0,2
272,Anjanapura,1850.0,4.0,86.0,4
273,Anjanapura,1070.0,2.0,39.0,2
274,Anjanapura,1070.0,2.0,37.0,2
275,Anjanapura,950.0,2.0,40.0,2
276,Anjanapura,1280.0,2.0,45.0,3
277,Anjanapura,710.0,2.0,25.0,2
278,Anjanapura,950.0,2.0,32.0,2
279,Anjanapura,1800.0,4.0,55.0,4
280,Anjanapura,1843.0,3.0,87.54,3
281,Anjanapura,1076.0,2.0,30.13,2
282,Anjanapura,950.0,2.0,30.0,2
283,Ardendale,1750.0,3.0,100.0,3
284,Ardendale,3198.0,4.0,200.0,4
285,Ardendale,1750.0,3.0,100.0,3
286,Ardendale,3200.0,4.0,205.0,4
287,Ardendale,1728.0,3.0,95.0,3
288,Ardendale,1732.46,3.0,92.0,3
289,Ardendale,1224.0,2.0,70.0,2
290,Ardendale,1777.26,3.0,105.0,3
291,Ardendale,1224.0,2.0,67.0,2
292,Ardendale,1723.0,3.0,95.0,3
293,Ardendale,1777.26,3.0,92.0,3
294,Arekere,1740.0,2.0,95.0,3
295,Arekere,1190.0,2.0,55.0,2
296,Arekere,600.0,1.0,28.0,1
297,Arekere,2072.0,3.0,108.0,3
298,Arekere,1100.0,2.0,55.0,2
299,Arekere,900.0,2.0,50.0,2
300,Arekere,2710.0,6.0,142.0,4
301,Arekere,1240.0,2.0,60.0,2
302,Arekere,900.0,2.0,44.5,2
303,Attibele,1600.0,4.0,52.8,4
304,Attibele,656.0,2.0,25.0,2
305,Attibele,400.0,1.0,11.0,1
306,Attibele,400.0,1.0,12.0,1
307,Attibele,400.0,1.0,14.0,1
308,Attibele,500.0,1.0,17.0,1
309,Attibele,395.0,1.0,10.25,1
310,Attibele,420.0,1.0,17.0,1
311,Attibele,418.0,1.0,12.0,1
312,Attibele,1200.0,2.0,42.0,2
313,Attibele,400.0,1.0,10.0,1
314,Attibele,695.0,1.0,25.0,2
315,Attibele,850.0,1.0,25.0,2
316,Attibele,450.0,1.0,12.5,1
317,Attibele,782.0,1.0,19.55,1
318,Attibele,656.0,2.0,25.0,2
319,Attibele,400.0,1.0,11.5,1
320,Attibele,460.0,1.0,13.0,1
321,Attibele,418.0,2.0,11.5,1
322,Attibele,1700.0,3.0,65.0,3
323,Attibele,400.0,1.0,10.25,1
324,Attibele,656.0,2.0,25.0,2
325,Attibele,520.0,1.0,15.0,1
326,BEML Layout,1060.0,2.0,55.0,2
327,BEML Layout,1194.0,2.0,65.0,2
328,BEML Layout,1200.0,2.0,67.0,2
329,BEML Layout,1194.0,2.0,65.0,2
330,BTM 2nd Stage,950.0,2.0,52.0,2
331,BTM 2nd Stage,1850.0,3.0,170.0,3
332,BTM 2nd Stage,1200.0,2.0,80.0,2
333,BTM 2nd Stage,1274.0,2.0,70.0,2
334,BTM 2nd Stage,1280.0,2.0,80.0,2
335,BTM 2nd Stage,1100.0,2.0,70.0,2
336,BTM 2nd Stage,1000.0,2.0,58.0,2
337,BTM 2nd Stage,2200.0,3.0,220.0,3
338,BTM 2nd Stage,965.0,2.0,56.0,2
339,BTM 2nd Stage,1147.0,2.0,75.0,2
340,BTM 2nd Stage,1750.0,3.0,172.0,3
341,BTM 2nd Stage,1400.0,2.0,90.0,2
342,BTM 2nd Stage,1200.0,2.0,70.0,2
343,BTM 2nd Stage,930.0,2.0,46.0,2
344,BTM Layout,1150.0,2.0,63.0,2
345,BTM Layout,3300.0,6.0,165.0,6
346,BTM Layout,1450.0,2.0,81.0,3
347,BTM Layout,1458.0,3.0,79.0,3
348,BTM Layout,935.0,2.0,51.5,2
349,BTM Layout,1020.0,2.0,46.5,2
350,BTM Layout,1300.0,2.0,75.0,3
351,BTM Layout,1540.0,2.0,78.0,3
352,BTM Layout,1196.0,2.0,56.81,2
353,Babusapalaya,1611.0,2.0,66.0,3
354,Babusapalaya,1141.0,2.0,46.0,2
355,Babusapalaya,1500.0,2.0,57.0,2
356,Babusapalaya,1050.0,2.0,45.0,2
357,Babusapalaya,1141.0,2.0,45.9,2
358,Babusapalaya,1230.0,3.0,53.0,3
359,Babusapalaya,1105.0,2.0,40.0,2
360,Babusapalaya,1450.0,2.0,55.99,2
361,Babusapalaya,1061.0,2.0,38.95,2
362,Badavala Nagar,1494.0,2.0,94.55,3
363,Badavala Nagar,1494.0,2.0,94.55,3
364,Badavala Nagar,1494.0,2.0,94.55,3
365,Balagere,1210.0,2.0,80.9,2
366,Balagere,1210.0,2.0,72.0,2
367,Balagere,1205.0,2.0,78.5,2
368,Balagere,1020.07,2.0,68.38,2
369,Balagere,1205.47,2.0,81.0,2
370,Balagere,1007.0,2.0,65.0,2
371,Balagere,1210.0,2.0,74.0,2
372,Balagere,675.0,1.0,45.0,1
373,Balagere,656.0,1.0,43.0,1
374,Balagere,1012.0,2.0,64.0,2
375,Balagere,1007.0,2.0,62.0,2
376,Balagere,1007.0,2.0,67.0,2
377,Balagere,1007.0,2.0,66.0,2
378,Balagere,1012.0,2.0,65.0,2
379,Balagere,656.0,1.0,38.77,1
380,Balagere,645.0,1.0,39.0,1
381,Balagere,645.0,1.0,41.0,1
382,Balagere,1210.0,2.0,82.0,2
383,Balagere,1205.0,2.0,73.87,2
384,Balagere,1007.0,2.0,68.0,2
385,Balagere,1205.0,2.0,79.0,2
386,Balagere,1012.0,2.0,68.0,2
387,Banashankari,1470.0,2.0,88.64,3
388,Banashankari,1300.0,2.0,75.0,3
389,Banashankari,1800.0,3.0,115.0,3
390,Banashankari,1125.0,2.0,63.0,2
391,Banashankari,1310.0,2.0,80.0,2
393,Banashankari,1260.0,2.0,75.0,2
394,Banashankari,1350.0,2.0,83.0,3
395,Banashankari,1330.0,2.0,78.0,2
397,Banashankari,1390.0,2.0,86.0,2
398,Banashankari,1460.0,2.0,70.0,2
399,Banashankari,1200.0,2.0,60.0,2
400,Banashankari,1290.0,2.0,80.0,2
401,Banashankari,1186.0,2.0,65.0,2
402,Banashankari,1650.0,3.0,101.0,3
403,Banashankari,1181.0,2.0,75.0,2
404,Banashankari,1040.0,2.0,45.0,2
405,Banashankari,1330.0,2.0,77.0,2
406,Banashankari,1185.0,2.0,67.0,2
407,Banashankari,1000.0,2.0,50.0,2
409,Banashankari,1650.0,3.0,101.0,3
410,Banashankari,1310.0,2.0,80.43,2
411,Banashankari,600.0,1.0,27.0,2
412,Banashankari,1430.0,2.0,87.8,2
414,Banashankari,1683.0,3.0,115.0,3
415,Banashankari,1800.0,3.0,125.0,3
417,Banashankari,1770.0,3.0,108.0,3
418,Banashankari,1800.0,3.0,125.0,3
419,Banashankari,1200.0,3.0,74.52,3
420,Banashankari,1100.0,2.0,63.0,2
421,Banashankari,1260.0,2.0,75.0,2
422,Banashankari,1426.0,3.0,85.0,3
423,Banashankari Stage II,1700.0,2.0,150.0,2
424,Banashankari Stage II,1200.0,2.0,150.0,4
425,Banashankari Stage II,1500.0,2.0,120.0,3
426,Banashankari Stage II,1250.0,2.0,110.0,2
427,Banashankari Stage II,1260.0,2.0,95.0,3
428,Banashankari Stage II,2400.0,2.0,300.0,3
429,Banashankari Stage II,1400.0,2.0,100.0,2
430,Banashankari Stage II,2800.0,3.0,425.0,5
431,Banashankari Stage II,3000.0,3.0,450.0,3
432,Banashankari Stage II,1245.0,2.0,125.0,2
433,Banashankari Stage III,1305.0,2.0,58.7,3
434,Banashankari Stage III,1145.0,2.0,58.4,2
435,Banashankari Stage III,1650.0,3.0,118.0,3
436,Banashankari Stage III,1350.0,2.0,68.0,3
437,Banashankari Stage III,1305.0,2.0,59.0,3
438,Banashankari Stage III,1305.0,2.0,60.0,3
439,Banashankari Stage III,1305.0,2.0,59.0,3
440,Banashankari Stage III,1480.0,3.0,75.48,3
441,Banashankari Stage III,1305.0,2.0,59.0,3
442,Banashankari Stage III,3000.0,6.0,150.0,6
443,Banashankari Stage III,1085.0,2.0,50.0,2
444,Banashankari Stage III,1500.0,2.0,100.0,3
445,Banashankari Stage III,2100.0,3.0,147.0,4
446,Banashankari Stage III,1420.0,2.0,95.0,3
447,Banashankari Stage V,1305.0,2.0,49.0,3
448,Banashankari Stage V,1035.0,2.0,35.77,2
449,Banashankari Stage V,1510.0,3.0,47.57,3
450,Banashankari Stage V,1650.0,3.0,51.98,3
451,Banashankari Stage V,1630.0,3.0,51.35,3
452,Banashankari Stage V,1510.0,3.0,47.57,3
453,Banashankari Stage V,1315.0,2.0,49.0,3
454,Banashankari Stage V,1540.0,3.0,48.51,3
455,Banashankari Stage VI,1177.5,2.0,59.935,2
456,Banashankari Stage VI,4800.0,4.0,190.0,4
457,Banashankari Stage VI,1160.0,2.0,59.0,2
458,Banashankari Stage VI,1180.0,2.0,59.47,2
459,Banashankari Stage VI,1423.0,2.0,71.73,3
460,Banashankari Stage VI,1392.0,3.0,69.46,3
461,Banashankari Stage VI,1410.5,2.0,70.385,3
462,Banashankari Stage VI,4800.0,3.0,200.0,4
463,Banaswadi,1145.0,2.0,55.0,2
464,Banaswadi,1250.0,2.0,60.0,2
465,Banaswadi,1365.0,2.0,73.0,2
466,Banaswadi,1200.0,2.0,60.0,2
467,Banaswadi,1340.0,2.0,73.0,2
468,Banaswadi,1008.0,2.0,52.0,2
469,Banaswadi,1105.0,2.0,57.0,2
470,Banjara Layout,1200.0,2.0,70.0,2
471,Banjara Layout,1050.0,2.0,64.8,2
472,Banjara Layout,2500.0,4.0,140.0,3
473,Bannerghatta,3012.0,6.0,250.0,4
474,Bannerghatta,1665.0,3.0,110.0,3
475,Bannerghatta,2370.0,4.0,195.0,3
476,Bannerghatta,1070.0,2.0,87.0,2
477,Bannerghatta,1776.0,3.0,124.0,3
478,Bannerghatta Road,1050.0,2.0,65.0,2
479,Bannerghatta Road,1170.0,2.0,66.0,3
480,Bannerghatta Road,595.0,1.0,33.32,1
481,Bannerghatta Road,1445.0,3.0,95.0,3
482,Bannerghatta Road,1460.0,2.0,90.0,3
483,Bannerghatta Road,1179.0,2.0,66.02,2
484,Bannerghatta Road,1122.5,2.0,58.935,2
485,Bannerghatta Road,793.0,2.0,45.0,2
486,Bannerghatta Road,1400.0,2.0,78.0,2
487,Bannerghatta Road,1654.0,3.0,100.0,3
488,Bannerghatta Road,1181.0,2.0,55.0,2
489,Bannerghatta Road,1200.0,2.0,75.0,2
490,Bannerghatta Road,595.0,1.0,31.83,1
491,Bannerghatta Road,1105.0,2.0,51.0,2
492,Bannerghatta Road,1255.0,2.0,65.26,2
494,Bannerghatta Road,912.0,2.0,55.0,2
495,Bannerghatta Road,1218.0,2.0,73.0,2
496,Bannerghatta Road,1115.0,2.0,65.12,2
498,Bannerghatta Road,1600.0,3.0,95.0,3
499,Bannerghatta Road,1275.0,2.0,65.0,2
500,Bannerghatta Road,1260.0,2.0,70.0,2
501,Bannerghatta Road,1150.0,2.0,65.0,2
502,Bannerghatta Road,1725.0,3.0,110.0,3
503,Bannerghatta Road,1220.0,2.0,80.0,2
504,Bannerghatta Road,1486.0,3.0,83.22,3
505,Bannerghatta Road,1015.0,2.0,48.0,2
506,Bannerghatta Road,1115.0,2.0,61.0,2
507,Bannerghatta Road,1200.0,2.0,69.0,3
509,Bannerghatta Road,1302.5,2.0,67.73,2
510,Bannerghatta Road,1200.0,2.0,65.0,2
511,Bannerghatta Road,1240.0,2.0,65.0,2
513,Bannerghatta Road,1268.0,2.0,69.0,2
514,Bannerghatta Road,1450.0,2.0,87.0,3
515,Bannerghatta Road,2932.0,5.0,195.0,4
516,Bannerghatta Road,960.0,2.0,58.0,2
517,Bannerghatta Road,1275.0,2.0,73.0,2
518,Bannerghatta Road,1240.0,2.0,71.0,2
519,Bannerghatta Road,1215.0,2.0,68.0,2
520,Bannerghatta Road,1215.0,2.0,68.0,2
521,Bannerghatta Road,1894.0,3.0,115.0,3
523,Bannerghatta Road,1280.0,2.0,60.16,2
524,Bannerghatta Road,630.0,1.0,35.0,1
525,Bannerghatta Road,1215.0,2.0,68.0,2
526,Bannerghatta Road,1365.0,3.0,76.18,3
529,Bannerghatta Road,1650.0,3.0,94.0,3
530,Bannerghatta Road,1000.0,2.0,50.0,2
532,Bannerghatta Road,1340.0,2.0,85.0,2
535,Bannerghatta Road,1115.0,2.0,61.0,2
536,Bannerghatta Road,1640.0,3.0,105.0,3
537,Bannerghatta Road,1550.0,3.0,96.0,3
538,Bannerghatta Road,1200.0,2.0,78.0,2
539,Bannerghatta Road,1885.0,3.0,125.0,3
541,Bannerghatta Road,905.0,2.0,58.0,2
542,Bannerghatta Road,1920.0,3.0,122.0,3
544,Bannerghatta Road,1270.0,2.0,73.0,3
545,Bannerghatta Road,1846.0,3.0,120.0,3
546,Bannerghatta Road,1122.5,2.0,61.74,2
547,Bannerghatta Road,1655.0,3.0,95.0,3
548,Bannerghatta Road,1150.0,2.0,55.0,2
549,Bannerghatta Road,1215.0,2.0,65.0,2
550,Bannerghatta Road,1470.0,2.0,85.0,3
551,Bannerghatta Road,970.0,2.0,57.0,2
552,Basavangudi,1036.0,2.0,105.0,2
553,Basavangudi,2600.0,4.0,260.0,4
554,Basavangudi,1600.0,2.0,160.0,3
555,Basavangudi,1050.0,2.0,103.0,2
556,Basavangudi,1180.0,2.0,124.0,2
557,Basavangudi,1200.0,2.0,120.0,2
558,Basavangudi,2453.0,3.0,250.0,4
559,Basaveshwara Nagar,4500.0,5.0,415.0,5
560,Basaveshwara Nagar,1865.0,3.0,145.0,3
561,Basaveshwara Nagar,1200.0,2.0,90.0,2
562,Basaveshwara Nagar,1200.0,2.0,80.0,2
563,Basaveshwara Nagar,900.0,2.0,60.0,2
564,Basaveshwara Nagar,1900.0,3.0,150.0,3
565,Basaveshwara Nagar,1200.0,2.0,85.0,2
566,Battarahalli,1200.0,2.0,65.0,2
567,Battarahalli,1779.0,3.0,89.61,3
568,Battarahalli,1945.0,3.0,97.42,3
569,Battarahalli,1880.0,3.0,94.36,3
570,Battarahalli,1636.0,2.0,82.89,2
571,Battarahalli,1779.0,3.0,90.0,3
572,Battarahalli,2082.0,3.0,104.0,3
